brand,model,color,line,productGroup,baseTitle
"Char-Griller","E6520","Ash",,,"Char-Griller AKORN Kamado Cart Charcoal Grill"
"Royal Gourmet","MG3000","Stainless Steel",,,
"Bradley Smoker","BT5FV120",,,,
"Aramco","AI30192","black",,,
"Z GRILLS",,,,,"Z GRILLS Wood Pellet Grill Smoker for Outdoor Cooking with Cover 2020 Upgrade 8-in-1"
"AMERICAN GOURMET","15302030-50","Black",,,
"Coleman","2000020932","Red",,,
"Pellet Caddy",,,,,
"Masterbuilt","MB20077419","40"" Stainless",,,"Masterbuilt Bluetooth Digital Electric Smoker"
"Royal Gourmet","SG6002","Stainless Steel",,,
"Lion Premium Grills",,,,,
"Cuisinart","CEG-980","Gray",,,"Cuisinart Outdoor Electric Grill"
"BBQFAM",,,,,"BBQFAM EZ Smoker Tube The Hexagonal Pellet Smoke on Instagram and FB- our 3 popular"
"BIG HORN OUTDOORS",,"Black",,,
"Char-Broil","463280219","Black",,,
"Xloey",,,,,
"kucoolou",,"hexagon",,,"Cold Smoke Generator for BBQ Bacon Fish Salmon Meat dust Hot and Smoking Burn Smoker Tools"
"Stanbroil",,,,,
"Z GRILLS",,,,,"Z GRILLS Wood Pellet Grill Smoker for Outdoor Cooking 2020 Upgrade 8-in-1"
"Weber","15502001","Copper",,,"Weber"
"Monument Grills",,"Black",,,
"Weber","61032001","Crimson",,,"Weber Genesis II E-330 Grill"
"KESITIS",,,,,
"Camp Chef","PLHK-PLT",,,,"Camp Chef"
"Weber","16401001","Black",,,
"Cuisinart","COS-116","16"" Charcoal",,,"Cuisinart"
"PIT BOSS","76340","Black",,,
"Smokehouse","9999-940-0000","Silver",,,
"Napoleon","RXT525SIBPSS-1","Stainless Steel",,,"Napoleon Rogue XT Gas Grill"
"Z GRILLS",,,,,"Z GRILLS 2021 Wood Pellet Grill Smoker 8 in 1 Outdoor Cooking"
"Outsunny",,"black",,,
"Weber","53060001","white",,,"Weber Grill"
"Z GRILLS",,"black",,,"Z GRILLS 2020 New Model Wood Pellet Grill Temperature Control sq in 100 All-Natural No Blending American Oak Hard 20 Lb"
"Northfire","INFER2GCVR","Black",,,"Northfire"
"Kaduf","Kaduf Smoker Box","Silver",,,"Kaduf Smoker Pellet for Any Grill BBQ Smoke Fish Pork Flavor Ribs Smoking with Wood"
"NOMADIQ",,"Black",,,
"YITAHOME",,"black",,,
"Lion Premium Grills",,,,,
"Boleefun",,"red",,,"Boleefun14-inch Portable Charcoal Grill. Heavy Duty Grill for champing or outdoor BBQ"
"Crystaller",,,,,
"SafBbcue",,,,,
"Kikkerland","BQ01","Silver",,,"Kikkerland Portable BBQ Suitcase"
"Smoke Daddy Inc.","Sd7346",,,,
"Traeger",,"black",,,"Renegade Pro Pellet Grill"
"Remta Makina",,"Silver",,,
"LavaLock","LL-201B",,,,
"Bull Outdoor Products","62648","Liquid Propane",,,"Bull Outdoor Products Diablo 6 Burner Grill Head"
"R.W.FLAME",,,,,"R.W.FLAME Gas Grill"
"GOLDEAL",,"Box I",,,"GOLDEAL Stainless Steel Smoker for Gas Grill Electric Charcoal Grills or"
"CHARAPID",,,,,
"Hinomaru Collection",,"White Square 5.5""",,,"Hinomaru Collection Aluminum Japanese Tabletop Shichirin Konro Charcoal Grill With Wire Mesh and Wooden Base Hibachi Style Yakiniku"
"BBQ Future",,,,,
"narratorbook",,,,,"narratorbook Cocktail Smoker Kit Smoking Portable Gun Food Smoke Infuser for Drinks Molecular Bubble Water Sprayer Handheld Drink Bar Kitchen"
"VEVOR",,,,,"VEVOR Outdoor Park Style Grill 24 x 16 Inch Charcoal Carbon Steel with Height 50-in Adjustable In-ground Stainless Grate"
"Bisoncook",,,,,"Replacement Electric Smoker Watts Heating Element for Masterbuilt"
"VISION",,"Black",,,"VISION Grills Ceramic Kamado"
"Lion Premium Grills","75625","white",,,
"CREATIVECHEF",,,,,"CREATIVECHEF Portable Smoker,Handheld Cold Smoking Gun,Cocktail Drink Smoker,Food Smoker, Glass Cover 26cmx17.5cm and Wood Chips Included, Black"
"AMERICAN GOURMET","21201715","Black",,,
"Campfire Grills from Wimpy's Store",,,,,
"RevoAce",,"black",,,
"Char-Broil","15601900","Black",,,"Char Broil TRU Infrared Patio Bistro Gas Grill,"
"Wanshe",,"Black",,,
"Magma","A10-207-3","Multi",,,"Magma Products Marine Kettle 3 Combination Stove Gas Grill"
"Smokehouse","9890-006-0000","METAL",,,
"Napoleon","PRO285-BK","Black",,,"TravelQ PRO285 BK Portable Propane Gas Grill,"
"Broil King","946884","Stainless Steel & Black",,,"Broil King Signet Gas Grill Stainless Steel Black"
"Z GRILLS","ZPG-7002B","700 sq in Black",,,"Z GRILLS 2020 Upgrade Wood Pellet Grill Smoker 8 in 1 BBQ Auto Temperature 700 sq"
"Ejoyous",,"defult",,,
"Americana","4100.0.511","Red",,,
"PIT BOSS","10537","Black",,,
"JiaDa",,"Black",,,
"Aooppec",,,,,"Aooppec Stronger Outdoor Camp Stove Portable Cast Iron Patio Cooking Burner High Pressure Gas Cooker with Stand and Metal Legs Propane Burners for"
"PIT BOSS","PB1150G","Black",,,
"Outsunny",,"black",,,
"Bradley Smoker","BSCOOKBOOK",,,,
"Weber","7470001","Stainless Steel",,,"Weber Summit S-670 Gas Grill"
"Royal Gourmet","GB4001B","black",,,
"Weber","7160001","Stainless Steel",,,
"Char-Broil","463632320","Stainless/Black",,,
"Absolutely Clean",,,,,"Absolutely Clean Amazing BBQ Grill Cleaning Spray Professional Strength Degreaser Natural Enzymes Make Easy"
"WEI WEI GLOBAL",,"Style II-46 IN",,,"WEI GLOBAL Inch Charcoal Grill Portable Backyard Steel BBQ Oven with Wheels Outdoor Patio Barbecue Cooker for Camping Picnic Party"
